Draw Date,Main_Numbers,Bonus,Jackpot,Winners
,"[1, 2, 10, 13, 22, 54]",41,860.0,5
,"[1, 5, 14, 15, 43, 46]",19,692.0,4
,"[2, 10, 15, 27, 46, 58]",21,209.0,3
,"[18, 29, 37, 38, 51, 58]",59,44.0,2
,"[11, 15, 24, 32, 34, 54]",49,165.0,0
,"[10, 13, 16, 17, 21, 38]",27,736.0,3
,"[8, 15, 27, 38, 49, 58]",3,601.0,11
,"[5, 6, 8, 10, 21, 23]",44,221.0,3
,"[18, 29, 33, 40, 46, 50]",10,811.0,1
,"[23, 24, 25, 34, 54, 56]",58,142.0,2
,"[1, 17, 22, 29, 31, 43]",35,250.0,5
,"[18, 29, 33, 40, 46, 50]",10,436.0,2
,"[10, 19, 29, 32, 36, 39]",5,672.0,6
,"[13, 25, 37, 40, 45, 47]",21,720.0,5
,"[5, 18, 25, 31, 33, 58]",28,414.0,1
,"[9, 10, 26, 38, 48, 57]",33,888.0,1
,"[18, 25, 32, 35, 47, 53]",37,764.0,2
,"[11, 29, 30, 45, 49, 56]",50,785.0,5
,"[5, 9, 30, 52, 56, 59]",51,834.0,2
,"[1, 13, 22, 27, 37, 55]",30,728.0,2
,"[22, 28, 29, 33, 34, 57]",5,51.0,1
,"[4, 13, 16, 19, 51, 58]",6,464.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 6, 10, 14, 28, 40]",34,879.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,1
,"[3, 31, 39, 44, 58, 59]",29,784.0,2
,"[11, 18, 25, 29, 30, 35]",56,513.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[13, 22, 45, 52, 53, 59]",20,594.0,0
,"[25, 30, 39, 42, 43, 52]",58,78.0,0
,"[5, 14, 21, 32, 34, 54]",43,72.0,0
,"[6, 28, 33, 47, 50, 55]",29,80.0,0
,"[3, 15, 34, 41, 47, 56]",23,919.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[26, 27, 43, 49, 58, 59]",44,180.0,0
,"[24, 36, 45, 46, 53, 55]",32,85.0,0
,"[1, 12, 13, 14, 34, 51]",54,170.0,0
,"[5, 16, 17, 23, 35, 36]",37,754.0,0
,"[7, 8, 17, 25, 32, 53]",41,582.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[20, 22, 27, 36, 51, 58]",9,243.0,1
,"[7, 15, 19, 32, 45, 46]",55,131.0,0
,"[11, 34, 45, 48, 51, 54]",42,910.0,0
,"[13, 22, 45, 52, 53, 59]",20,838.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[5, 24, 37, 42, 43, 52]",49,937.0,0
,"[24, 36, 45, 46, 53, 55]",32,696.0,0
,"[22, 26, 29, 39, 45, 52]",56,684.0,0
,"[19, 38, 41, 51, 54, 58]",24,435.0,0
,"[1, 13, 16, 32, 41, 53]",47,990.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[10, 11, 47, 50, 53, 59]",12,705.0,0
,"[6, 28, 35, 43, 48, 54]",3,906.0,0
,"[8, 20, 23, 26, 27, 37]",38,218.0,0
,"[1, 5, 24, 28, 33, 51]",27,224.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[9, 21, 34, 39, 50, 52]",32,647.0,1
,"[2, 20, 44, 49, 51, 56]",38,920.0,0
,"[1, 8, 19, 32, 40, 50]",6,766.0,0
,"[14, 18, 21, 30, 34, 35]",45,936.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[15, 22, 24, 34, 47, 48]",37,353.0,1
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[12, 14, 25, 35, 47, 52]",46,676.0,0
,"[2, 17, 24, 29, 37, 57]",26,155.0,0
,"[4, 9, 40, 42, 45, 54]",34,573.0,0
,"[6, 8, 13, 22, 29, 45]",20,577.0,0
,"[10, 25, 48, 50, 51, 58]",11,461.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,2
,"[7, 23, 30, 35, 39, 46]",10,635.0,0
,"[1, 6, 24, 36, 54, 56]",57,695.0,0
